Breed,Weight,Chest,Neck,BootSize,Age,Activity,HarnessSize
Rottweiler,42.9,82.0,59.6,4,115.0,High,XL
Bulldog,24.2,56.8,44.0,5,11.0,Low,M
Boxer,27.2,65.9,35.9,6,37.0,High,L
Beagle,11.2,46.7,36.4,4,71.0,High,S
German Shepherd,34.6,69.2,42.5,2,96.0,High,L
Labrador,29.9,83.6,44.3,2,49.0,Medium,XL
Dachshund,8.5,36.4,31.4,4,99.0,Low,S
German Shepherd,24.0,84.8,53.2,2,89.0,Medium,XL
Dachshund,10.4,39.5,32.9,2,36.0,Low,S
Rottweiler,38.6,76.6,51.1,4,57.0,Medium,L
Golden Retriever,32.4,74.1,46.5,5,15.0,Medium,L
Rottweiler,44.9,83.0,48.6,4,82.0,High,XL
Golden Retriever,29.6,65.6,45.4,5,36.0,High,L
Labrador,32.1,70.8,40.9,5,115.0,Medium,L
Beagle,11.5,41.5,36.9,4,105.0,Medium,S
Rottweiler,38.2,88.1,53.5,3,40.0,Medium,XL
Golden Retriever,25.1,76.3,45.7,7,25.0,High,L
Beagle,11.5,40.7,39.3,1,114.0,Low,S
Labrador,26.4,81.2,39.4,4,115.0,Low,XL
Golden Retriever,33.2,69.3,40.2,6,79.0,Medium,L
Dachshund,9.4,35.5,34.2,4,42.0,Low,S
German Shepherd,40.0,83.3,50.6,1,32.0,High,XL
Labrador,25.5,72.6,41.1,4,21.0,High,L
Golden Retriever,31.1,74.8,47.0,3,23.0,High,L
Poodle,16.4,48.9,33.9,5,117.0,Medium,S
Chihuahua,2.9,32.2,19.3,3,62.0,Low,XS
Chihuahua,3.0,31.8,22.9,3,12.0,Medium,XS
Poodle,17.0,55.5,30.2,1,33.0,High,M
German Shepherd,30.5,75.9,50.3,5,55.0,Low,L
Rottweiler,47.2,94.6,54.3,2,,Medium,XL
Bulldog,21.7,55.6,45.0,7,66.0,High,M
Dachshund,8.5,36.9,33.5,5,26.0,High,S
Chihuahua,2.4,34.2,18.9,1,80.0,Low,XS
Chihuahua,2.9,31.5,18.1,5,1.0,High,XS
Golden Retriever,28.2,66.3,38.2,3,120.0,Medium,L
Labrador,28.1,71.9,47.8,3,10.0,Medium,L
Poodle,,46.3,31.4,2,4.0,Low,S
Rottweiler,56.7,79.4,50.7,5,9.0,High,L
Beagle,9.5,46.4,38.1,1,4.0,High,S
Dachshund,7.6,49.8,29.8,7,26.0,High,S
Labrador,30.5,78.1,40.1,7,86.0,Low,L
German Shepherd,30.9,77.8,52.4,5,119.0,Low,L
Dachshund,14.9,43.5,32.3,2,59.0,High,S
German Shepherd,40.0,80.1,49.3,4,,Medium,XL
German Shepherd,26.9,73.2,52.4,6,38.0,Low,L
Beagle,10.0,44.2,39.0,6,58.0,High,S
Dachshund,7.7,42.1,26.5,2,22.0,Low,S
Bulldog,19.4,56.1,36.0,6,120.0,Medium,M
Dachshund,8.5,35.5,30.6,6,112.0,Medium,S
Boxer,25.9,68.9,35.6,1,27.0,High,L
Poodle,15.5,47.3,32.8,5,108.0,Low,S
Dachshund,7.5,,30.2,1,60.0,Low,S
Bulldog,19.0,63.5,38.2,3,49.0,Low,M
Bulldog,23.2,59.5,43.5,6,85.0,High,M
Chihuahua,2.7,34.0,23.9,2,20.0,Low,XS
German Shepherd,36.9,71.4,47.8,7,94.0,High,L
Bulldog,22.7,61.1,39.7,4,94.0,High,M
Labrador,35.0,74.0,45.2,5,26.0,Low,L
Poodle,21.0,47.4,30.7,7,24.0,Low,S
Boxer,30.5,67.2,44.1,3,54.0,Medium,L
Chihuahua,3.9,27.7,17.1,7,117.0,Low,XS
Boxer,27.6,61.3,43.9,7,80.0,Low,M
Dachshund,9.4,41.2,31.6,6,29.0,Medium,S
German Shepherd,22.4,78.0,41.6,3,46.0,Medium,L
Labrador,36.0,80.2,40.1,4,112.0,Medium,XL
Chihuahua,3.7,32.9,17.4,7,14.0,High,XS
Dachshund,7.6,47.1,31.6,6,7.0,Medium,S
Bulldog,20.1,67.9,39.4,6,96.0,Low,L
Chihuahua,2.6,25.7,16.8,5,101.0,Medium,XS
Labrador,33.0,68.3,41.1,5,65.0,High,L
Poodle,19.0,53.5,30.4,5,73.0,Low,M
Boxer,31.1,64.9,42.0,2,,High,M
Rottweiler,45.7,96.2,52.0,7,16.0,Medium,XL
Rottweiler,42.9,96.0,58.6,4,23.0,High,XL
Labrador,34.6,75.5,47.3,5,26.0,Medium,L
Labrador,30.9,84.4,46.9,4,109.0,Medium,XL
Labrador,31.5,72.7,44.4,2,49.0,Low,L
Rottweiler,52.3,79.5,48.2,3,52.0,High,L
Beagle,10.5,51.4,39.8,7,69.0,Medium,M
Chihuahua,2.1,34.7,20.1,3,46.0,High,XS
Dachshund,12.2,41.0,33.0,1,113.0,Low,S
Beagle,11.9,54.4,34.6,6,116.0,Medium,M
Rottweiler,52.6,93.2,46.9,6,80.0,High,XL
Labrador,31.4,77.2,41.4,2,33.0,Low,L
Poodle,16.2,50.0,38.6,2,58.0,Low,M
Golden Retriever,34.2,70.4,40.6,3,112.0,Medium,L
Rottweiler,58.0,82.2,55.5,5,83.0,Medium,XL
Chihuahua,3.4,29.3,17.6,6,88.0,Medium,XS
Golden Retriever,34.8,71.6,48.9,2,63.0,Low,L
Poodle,15.1,53.8,34.2,2,63.0,High,M
Labrador,26.2,67.6,39.4,6,75.0,High,L
Boxer,27.9,74.1,39.3,4,13.0,Medium,L
Poodle,22.6,57.2,36.4,5,71.0,Low,M
Chihuahua,3.2,27.8,19.6,6,79.0,Low,XS
Boxer,27.1,62.4,35.4,5,99.0,Medium,M
Chihuahua,3.3,31.5,15.1,3,117.0,Low,XS
Golden Retriever,34.5,76.4,43.4,6,120.0,High,L
Golden Retriever,33.0,74.7,44.6,5,22.0,High,L
Rottweiler,47.0,97.6,47.9,1,54.0,Medium,XL
Rottweiler,39.5,76.6,51.4,3,49.0,Medium,L
German Shepherd,38.8,66.5,50.2,6,49.0,High,L
Labrador,35.3,76.9,47.5,4,55.0,High,L
Boxer,27.3,60.7,35.4,1,74.0,High,M
Beagle,13.2,47.2,34.7,6,50.0,High,S
Labrador,29.9,74.6,49.3,7,43.0,Medium,L
Labrador,26.1,65.8,47.8,6,60.0,Medium,L
Dachshund,12.5,36.2,31.2,7,49.0,Medium,S
Golden Retriever,27.9,74.0,38.7,5,37.0,Low,L
German Shepherd,28.7,80.6,54.2,4,78.0,Low,XL
Poodle,18.8,50.4,34.0,3,96.0,High,M
Labrador,25.7,65.8,49.4,2,109.0,Medium,L
Bulldog,18.5,55.2,38.3,1,7.0,Unknown,M
Labrador,33.6,80.3,41.6,1,120.0,Low,XL
Labrador,31.4,81.7,48.4,1,74.0,Low,XL
Dachshund,12.5,42.0,31.6,6,33.0,High,S
German Shepherd,32.8,82.4,40.2,1,62.0,Low,XL
Dachshund,9.0,40.4,29.7,3,76.0,Medium,S
Dachshund,14.8,39.7,28.4,6,17.0,High,S
Beagle,11.3,47.8,34.4,3,87.0,High,S
Golden Retriever,30.4,65.1,41.7,5,88.0,Low,L
Dachshund,8.9,47.8,26.9,1,48.0,Medium,S
German Shepherd,35.8,68.0,42.0,4,105.0,High,L
Dachshund,13.3,38.4,30.7,2,74.0,Medium,S
Labrador,36.0,84.0,39.9,7,89.0,Low,XL
Beagle,11.8,54.8,40.0,4,12.0,High,M
Beagle,13.2,54.2,33.8,1,111.0,High,M
Beagle,11.6,43.3,36.2,3,107.0,Medium,S
Chihuahua,3.4,29.7,20.9,3,56.0,High,XS
Bulldog,23.6,56.8,38.8,5,84.0,Medium,M
German Shepherd,22.6,72.6,44.5,4,42.0,Low,L
Chihuahua,3.9,31.0,24.2,4,6.0,High,XS
Dachshund,7.5,111.89999999999999,29.5,1,83.0,High,S
Dachshund,10.1,37.4,31.1,6,75.0,Low,S
Poodle,24.3,53.9,34.2,5,47.0,Medium,M
Chihuahua,2.0,34.0,21.8,7,98.0,High,XS
Rottweiler,38.2,96.7,58.3,5,105.0,Medium,XL
Poodle,16.9,51.7,33.5,1,26.0,High,M
German Shepherd,31.4,80.8,42.5,4,119.0,Low,XL
Boxer,25.8,72.3,39.1,1,31.0,Medium,L
Rottweiler,35.8,92.7,52.4,2,,Low,XL
Bulldog,23.1,60.7,37.2,7,15.0,Low,M
Chihuahua,3.7,26.1,19.4,6,21.0,Medium,XS
Labrador,,66.6,45.9,1,117.0,Medium,L
Poodle,20.7,55.6,35.6,3,62.0,High,M
German Shepherd,30.7,71.8,48.7,2,5.0,High,L
Rottweiler,38.8,76.7,46.2,3,104.0,Low,L
Bulldog,22.4,65.9,43.6,3,31.0,Low,L
Poodle,19.9,,37.5,5,33.0,High,S
Beagle,10.4,41.2,36.3,2,25.0,Low,S
Chihuahua,3.4,30.9,21.0,2,92.0,Low,XS
Labrador,28.4,65.8,43.7,4,114.0,Medium,L
German Shepherd,38.8,76.2,45.1,2,104.0,High,L
Bulldog,19.9,62.5,36.0,2,116.0,Medium,M
Rottweiler,46.2,77.1,53.9,6,53.0,High,L
Poodle,24.2,47.3,30.3,4,50.0,High,S
Chihuahua,3.4,29.0,23.7,1,1.0,Low,XS
Boxer,29.0,65.5,43.4,4,44.0,High,L
Poodle,18.6,57.0,35.2,4,67.0,Low,M
German Shepherd,22.3,69.7,55.0,3,57.0,High,L
Rottweiler,35.7,95.2,53.0,1,44.0,Medium,XL
Labrador,28.3,75.6,39.3,5,41.0,Low,L
Dachshund,14.7,48.4,30.3,5,67.0,Medium,S
German Shepherd,26.2,77.6,40.7,5,21.0,Medium,L
Bulldog,23.8,69.1,38.0,5,89.0,Low,L
Chihuahua,3.3,32.2,21.6,5,19.0,Medium,XS
Golden Retriever,,71.8,48.0,1,74.0,High,L
Chihuahua,3.6,30.3,18.5,2,57.0,High,XS
Boxer,28.8,73.4,41.2,5,102.0,High,L
Rottweiler,41.3,89.7,51.3,5,43.0,Medium,XL
German Shepherd,37.7,70.6,52.9,3,40.0,Medium,L
Bulldog,21.6,63.2,39.3,4,82.0,Low,M
Poodle,16.2,56.3,31.4,7,89.0,Low,M
Beagle,11.1,53.9,33.7,6,10.0,Low,M
Dachshund,7.3,,25.5,5,31.0,Low,S
Rottweiler,46.2,86.8,50.3,6,54.0,Medium,XL
Labrador,27.9,81.7,48.0,6,31.0,Medium,XL
Bulldog,21.4,58.6,41.9,4,94.0,Medium,M
German Shepherd,32.8,69.4,42.1,7,68.0,Low,L
Bulldog,22.2,65.1,35.5,4,11.0,Low,L
Poodle,20.9,57.0,36.0,6,109.0,Low,M
Dachshund,7.9,44.6,31.6,5,36.0,High,S
Dachshund,12.8,35.3,33.4,2,3.0,High,S
Labrador,34.8,73.5,42.3,7,89.0,Low,L
Poodle,,56.8,35.5,1,115.0,Low,M
Poodle,22.2,53.1,31.5,7,48.0,Low,M
Boxer,30.5,70.4,36.3,3,29.0,High,L
Bulldog,19.6,69.2,37.2,3,76.0,High,L
Bulldog,20.5,58.0,36.3,4,47.0,High,M
Boxer,25.5,70.3,44.3,6,90.0,High,L
Boxer,28.4,63.2,37.7,3,21.0,High,M
Rottweiler,36.3,95.6,57.0,6,73.0,High,XL
Boxer,31.4,73.0,35.2,4,64.0,Medium,L
Chihuahua,3.8,31.4,18.1,4,30.0,High,XS
Chihuahua,2.2,34.7,16.1,6,105.0,High,XS
Labrador,26.6,76.4,42.1,6,41.0,High,L
Boxer,26.6,65.0,37.2,1,27.0,Unknown,L
Dachshund,14.0,47.8,30.9,6,79.0,Medium,S
Poodle,16.5,51.9,31.3,7,4.0,Medium,M
Golden Retriever,27.1,78.4,46.5,4,70.0,Low,L
Dachshund,12.9,48.5,25.2,2,85.0,Low,S
Golden Retriever,26.2,77.7,49.0,2,60.0,Medium,L
Beagle,9.8,51.8,35.1,4,113.0,Medium,M
Chihuahua,3.7,28.2,18.1,6,100.0,Low,XS
Rottweiler,57.2,82.5,45.5,6,36.0,Low,XL
Boxer,30.7,62.1,37.2,6,114.0,Medium,M
Chihuahua,3.3,26.9,16.2,1,12.0,High,XS
Golden Retriever,32.0,71.4,45.1,6,89.0,High,L
Dachshund,12.9,41.8,25.7,2,49.0,High,S
Labrador,32.9,74.0,47.4,4,60.0,High,L
Chihuahua,2.5,33.9,20.5,3,103.0,Low,XS
Beagle,10.6,50.4,33.6,4,29.0,High,M
Boxer,28.3,68.2,36.3,3,27.0,High,L
Dachshund,11.9,37.5,25.6,5,46.0,Medium,S
Poodle,22.4,51.0,35.5,6,119.0,Low,M
Chihuahua,3.6,32.6,15.9,3,108.0,High,XS
Dachshund,12.9,40.4,32.9,7,95.0,High,S
Dachshund,12.6,40.8,25.6,1,105.0,High,S
Rottweiler,43.5,87.6,57.1,2,105.0,Low,XL
Bulldog,20.4,63.8,42.7,6,55.0,High,M
Bulldog,19.8,56.4,38.2,7,,Low,M
Boxer,27.9,73.8,43.3,7,9.0,Medium,L
German Shepherd,34.6,67.6,44.6,5,50.0,High,L
Beagle,12.3,54.0,34.5,4,67.0,High,M
Beagle,13.9,44.2,37.9,6,102.0,Medium,S
Rottweiler,54.8,83.3,55.9,6,,Low,XL
German Shepherd,31.5,76.0,53.0,6,16.0,Low,L
Rottweiler,57.0,99.8,57.2,1,38.0,Low,XL
Golden Retriever,32.2,65.9,49.2,1,15.0,Low,L
Dachshund,10.4,35.6,34.1,4,95.0,Medium,S
Dachshund,9.3,49.0,25.6,5,24.0,High,S
Chihuahua,3.9,29.2,21.8,7,11.0,High,XS
Rottweiler,48.6,75.5,48.4,4,90.0,Medium,L
Bulldog,21.0,66.7,42.8,4,76.0,Medium,L
Bulldog,21.6,62.1,41.1,2,89.0,Medium,M
Bulldog,20.2,66.0,36.0,3,93.0,Medium,L
Chihuahua,3.7,34.0,15.2,5,45.0,Low,XS
Poodle,16.0,56.4,35.3,2,4.0,Low,M
Dachshund,14.1,41.7,25.1,2,109.0,Low,S
Dachshund,8.0,44.0,32.8,2,118.0,Low,S
German Shepherd,27.8,71.5,48.6,3,29.0,Low,L
Dachshund,13.2,43.4,30.9,4,106.0,Low,S
Boxer,29.7,73.5,40.3,5,108.0,High,L
Golden Retriever,31.7,78.6,45.4,3,61.0,Medium,L
Rottweiler,39.2,90.0,52.0,2,38.0,Low,XL
Chihuahua,2.4,31.5,20.8,6,77.0,High,XS
Poodle,17.0,49.2,37.8,2,20.0,Medium,S
Chihuahua,2.8,26.6,21.0,2,85.0,Medium,XS
Beagle,11.1,54.7,30.4,2,55.0,Low,M
Beagle,9.5,52.8,36.5,2,86.0,High,M
Poodle,19.5,54.6,30.1,1,15.0,High,M
Golden Retriever,26.3,76.9,49.1,7,75.0,Low,L
Boxer,25.5,70.8,37.6,3,109.0,Low,L
Rottweiler,47.5,80.9,49.9,5,19.0,High,XL
Rottweiler,48.8,90.5,51.7,1,16.0,Medium,XL
Dachshund,12.9,39.6,26.8,7,7.0,Low,S
Chihuahua,2.1,30.6,23.9,1,27.0,Medium,XS
Bulldog,24.9,58.1,36.2,5,97.0,Medium,M
Poodle,22.5,55.9,32.4,7,99.0,High,M
Boxer,29.9,66.5,42.3,3,24.0,High,L
Boxer,28.5,72.6,35.7,5,22.0,Medium,L
Dachshund,12.0,46.2,26.3,4,49.0,Medium,S
Labrador,34.4,79.6,44.5,4,41.0,High,L
Poodle,17.1,58.5,37.0,7,115.0,High,M
Boxer,29.2,61.6,40.0,3,84.0,Low,M
Poodle,22.3,47.5,32.4,1,26.0,Medium,S
German Shepherd,39.8,83.0,46.3,2,15.0,Low,XL
Boxer,,65.7,38.1,2,39.0,High,L
Poodle,23.1,53.5,36.1,7,2.0,Medium,M
Golden Retriever,29.7,76.9,42.6,3,89.0,Medium,L
Beagle,13.3,50.8,33.5,6,41.0,Medium,M
Dachshund,11.2,39.2,29.9,6,3.0,Medium,S
Labrador,29.2,71.6,43.7,4,2.0,Medium,L
Labrador,31.3,80.1,45.0,2,8.0,Low,XL
Labrador,25.1,73.4,41.2,5,119.0,Medium,L
Golden Retriever,,79.1,39.4,4,62.0,High,L
Dachshund,8.8,46.6,30.5,4,15.0,High,S
Dachshund,11.4,44.7,27.2,2,50.0,Low,S
Boxer,27.6,60.9,43.1,1,29.0,Low,M
Poodle,,46.1,37.4,4,17.0,High,S
Chihuahua,3.1,27.4,18.8,6,47.0,High,XS
Chihuahua,2.6,31.5,24.9,4,52.0,High,XS
Chihuahua,2.8,25.2,22.8,3,115.0,Medium,XS
Labrador,33.0,75.9,47.6,5,22.0,High,L
Boxer,29.7,65.7,40.3,5,94.0,Medium,L
Golden Retriever,28.0,72.4,43.4,3,,High,L
Boxer,25.5,67.3,38.0,3,64.0,Medium,L
Golden Retriever,31.6,66.8,41.2,7,119.0,High,L
Dachshund,11.7,40.2,26.7,5,83.0,Medium,S
German Shepherd,34.9,67.1,48.6,6,99.0,Medium,L
German Shepherd,33.1,73.5,,4,34.0,High,L
Golden Retriever,32.2,65.3,42.5,7,80.0,Low,L
Beagle,13.2,54.8,34.2,5,33.0,Low,M
Golden Retriever,31.6,67.5,45.3,6,5.0,Medium,L
Beagle,10.8,41.7,35.5,1,84.0,Low,S
Labrador,30.9,66.1,49.1,1,20.0,Low,L
Golden Retriever,28.7,74.4,40.2,4,21.0,Medium,L
Chihuahua,12.5,30.1,23.7,2,,Medium,XS
Chihuahua,2.2,25.4,16.8,3,101.0,Low,XS
Rottweiler,47.6,91.0,54.9,5,30.0,High,XL
Dachshund,11.5,39.5,26.3,3,23.0,Medium,S
Dachshund,7.7,39.3,27.4,6,39.0,Medium,S
Poodle,23.4,56.4,36.2,2,78.0,Medium,M
Bulldog,19.6,66.2,37.5,3,99.0,Low,L
Beagle,11.8,43.5,39.1,4,85.0,High,S
Bulldog,18.5,64.4,38.8,7,78.0,High,M
Rottweiler,49.9,99.9,55.9,7,34.0,High,XL
Rottweiler,51.1,97.4,47.0,5,117.0,Medium,XL
Boxer,31.5,60.2,41.2,3,103.0,Medium,M
Poodle,20.6,45.3,32.0,4,7.0,Medium,S
Golden Retriever,28.7,71.6,43.7,4,51.0,Medium,L
Bulldog,18.7,65.9,36.8,1,7.0,Medium,L
Rottweiler,39.2,86.2,49.2,7,35.0,Medium,XL
Chihuahua,3.4,34.8,21.7,4,85.0,High,XS
Beagle,12.0,41.5,,3,17.0,Low,S
Rottweiler,52.8,78.3,49.2,6,100.0,Medium,L
Poodle,,46.4,38.4,7,28.0,Low,S
Rottweiler,39.2,83.2,54.5,7,51.0,Low,XL
Poodle,24.3,51.8,37.9,7,115.0,Medium,M
Golden Retriever,32.8,71.8,45.6,3,118.0,Medium,L
German Shepherd,33.3,69.5,47.4,6,95.0,Medium,L
Chihuahua,2.5,31.8,15.5,7,67.0,Medium,XS
Beagle,13.1,51.5,39.8,4,50.0,High,M
Golden Retriever,31.6,65.1,41.3,1,110.0,Medium,L
Golden Retriever,28.0,71.5,45.7,5,44.0,High,L
Boxer,28.6,70.4,45.0,4,27.0,High,L
Beagle,13.4,45.7,,2,108.0,High,S
Beagle,13.4,49.0,35.0,3,7.0,Low,S
Dachshund,9.8,47.9,31.5,3,58.0,High,S
German Shepherd,32.9,73.3,51.6,1,,Medium,L
Rottweiler,47.2,79.4,49.9,3,115.0,Low,L
Bulldog,24.0,63.0,41.2,3,26.0,High,M
Rottweiler,36.7,84.7,49.2,5,48.0,Low,XL
Dachshund,7.6,45.0,28.0,1,82.0,High,S
Dachshund,11.3,48.6,29.0,5,99.0,Medium,S
Boxer,30.7,69.4,36.2,2,116.0,High,L
Golden Retriever,34.7,74.3,39.5,3,93.0,Low,L
Boxer,28.3,74.6,43.1,4,113.0,High,L
Dachshund,14.4,40.7,31.7,2,114.0,High,S
Poodle,18.5,46.5,35.6,3,97.0,Low,S
German Shepherd,37.5,83.2,50.5,3,57.0,High,XL
Rottweiler,49.1,79.4,58.2,5,109.0,Medium,L
Boxer,28.0,69.2,40.1,2,41.0,Low,L
Poodle,19.1,45.3,33.8,7,107.0,Low,S
German Shepherd,33.0,82.0,49.3,1,86.0,High,XL
Poodle,24.8,57.3,35.2,4,96.0,Medium,M
German Shepherd,27.7,84.9,44.9,1,93.0,Medium,XL
Rottweiler,37.1,84.1,49.0,1,87.0,High,XL
Bulldog,20.4,60.5,42.0,4,56.0,High,M
Dachshund,10.5,,27.6,6,39.0,Low,S
Poodle,15.0,53.2,35.7,6,41.0,High,M
Golden Retriever,27.3,74.2,45.8,2,36.0,Medium,L
Labrador,25.7,66.2,49.1,2,52.0,High,L
Boxer,29.1,74.4,41.7,6,70.0,High,L
Rottweiler,40.4,85.7,56.3,3,67.0,Medium,XL
Beagle,12.9,,32.7,4,75.0,Low,M
Golden Retriever,28.7,65.5,44.2,1,76.0,High,L
German Shepherd,33.2,84.1,47.1,5,82.0,Medium,XL
Boxer,31.9,72.8,44.0,7,54.0,High,L
German Shepherd,28.6,65.4,42.7,5,95.0,High,L
Rottweiler,44.5,90.7,48.4,1,,Medium,XL
Rottweiler,,91.8,45.1,6,37.0,High,XL
Rottweiler,52.9,86.6,52.7,3,28.0,Low,XL
Bulldog,20.9,63.4,35.6,5,72.0,Medium,M
Poodle,24.8,,37.2,3,68.0,Medium,M
Bulldog,22.5,69.7,43.5,2,66.0,High,L
Boxer,30.5,60.5,42.3,4,63.0,Low,M
Boxer,30.9,66.2,42.8,6,82.0,Medium,L
Rottweiler,39.6,82.3,50.2,7,15.0,Low,XL
Rottweiler,37.3,88.4,54.0,1,30.0,Low,XL
German Shepherd,30.2,65.1,,2,44.0,Low,L
Poodle,24.9,46.8,36.7,5,19.0,Low,S
Rottweiler,50.0,84.1,54.2,6,67.0,Medium,XL
Bulldog,23.7,55.1,35.6,2,90.0,High,M
German Shepherd,30.5,69.5,45.7,4,115.0,Medium,L
Chihuahua,2.6,33.9,21.7,5,14.0,High,XS
Poodle,17.0,45.5,39.1,2,9.0,Low,S
Poodle,22.1,51.6,39.9,7,37.0,Low,M
Beagle,9.1,50.4,32.4,3,13.0,Low,M
Labrador,26.3,75.0,47.7,2,,High,L
German Shepherd,35.3,75.9,50.4,1,61.0,High,L
Beagle,11.4,47.6,36.6,1,110.0,High,S
Rottweiler,37.0,90.8,49.1,6,42.0,Medium,XL
German Shepherd,36.4,82.6,50.0,1,100.0,High,XL
Dachshund,12.6,36.7,25.9,3,78.0,Low,S
Rottweiler,35.1,76.1,50.7,2,87.0,High,L
German Shepherd,38.2,66.4,45.0,6,38.0,Medium,L
Boxer,29.8,64.6,42.5,1,64.0,Low,M
Labrador,26.1,69.7,46.6,4,95.0,High,L
Poodle,24.1,47.6,32.5,1,32.0,High,S
Rottweiler,40.6,84.1,56.0,5,1.0,Medium,XL
Chihuahua,3.2,25.6,17.3,5,1.0,Medium,XS
German Shepherd,35.1,69.7,46.1,5,92.0,Medium,L
Rottweiler,36.9,84.1,57.8,4,89.0,Low,XL
Dachshund,12.1,35.5,34.5,7,106.0,Medium,S
Golden Retriever,27.4,67.1,49.9,4,3.0,Unknown,L
Chihuahua,3.0,34.7,18.9,2,49.0,Medium,XS
Rottweiler,59.8,96.0,51.3,6,40.0,Low,XL
Chihuahua,3.2,,24.9,3,22.0,Low,XS
Dachshund,,47.1,29.2,7,39.0,High,S
Rottweiler,51.7,78.7,46.4,4,112.0,High,L
Beagle,9.5,47.4,37.2,3,29.0,Low,S
German Shepherd,31.6,72.9,49.9,3,23.0,Medium,L
Rottweiler,51.0,98.7,48.6,5,119.0,Medium,XL
Rottweiler,51.2,99.1,58.1,2,102.0,Medium,XL
Bulldog,21.2,55.3,38.7,1,100.0,Medium,M
Chihuahua,2.2,33.1,15.5,2,31.0,Low,XS
Poodle,23.1,45.2,38.2,7,61.0,High,S
Beagle,10.9,50.3,33.0,6,9.0,High,M
Dachshund,11.0,35.6,30.8,1,76.0,Medium,S
German Shepherd,26.9,74.9,47.0,7,110.0,Medium,L
Boxer,26.2,63.9,43.7,4,34.0,Low,M
Rottweiler,52.4,82.1,55.0,5,91.0,Low,XL
Boxer,25.6,65.0,44.2,3,54.0,High,L
Rottweiler,44.0,79.9,59.9,6,65.0,Medium,L
Golden Retriever,26.7,69.9,44.2,6,51.0,High,L
German Shepherd,38.8,79.7,49.6,6,104.0,High,L
Bulldog,18.8,60.4,36.1,5,13.0,High,M
Rottweiler,50.3,96.6,56.5,7,26.0,High,XL
Chihuahua,2.8,26.2,17.4,5,118.0,High,XS
Boxer,29.6,66.8,39.7,7,108.0,Medium,L
Labrador,25.6,79.3,40.2,2,47.0,Medium,L
Golden Retriever,27.3,79.0,41.7,7,,High,L
Bulldog,20.3,,40.1,5,11.0,Medium,M
German Shepherd,34.3,78.0,48.7,2,87.0,Low,L
Boxer,26.1,67.2,42.3,4,65.0,Low,L
Dachshund,13.8,49.4,34.4,2,59.0,High,S
German Shepherd,34.1,75.6,47.8,7,2.0,Medium,L
Rottweiler,57.7,81.8,57.9,6,13.0,Low,XL
Boxer,29.5,70.8,43.4,3,83.0,Medium,L
German Shepherd,39.4,82.9,48.7,4,113.0,Low,XL
Beagle,13.1,45.1,31.7,3,114.0,Medium,S
Poodle,20.4,48.2,33.2,1,59.0,High,S
Bulldog,22.5,57.9,38.4,7,100.0,Low,M
Chihuahua,3.0,26.2,17.5,1,21.0,Low,XS
Chihuahua,3.9,28.8,22.1,4,106.0,Medium,XS
Poodle,16.0,,39.1,3,55.0,Medium,M
Poodle,18.7,45.8,39.4,2,20.0,Medium,S
Golden Retriever,25.1,77.2,46.2,3,56.0,Medium,L
Golden Retriever,30.7,75.6,45.2,1,100.0,Low,L
Beagle,11.5,52.9,32.0,6,96.0,High,M
Golden Retriever,34.7,77.4,41.6,3,15.0,Low,L
Poodle,21.4,46.0,37.5,1,48.0,High,S
Bulldog,22.2,62.9,38.7,1,60.0,High,M
Chihuahua,2.5,30.7,15.2,4,120.0,Low,XS
Bulldog,19.1,67.3,35.7,3,18.0,High,L
Bulldog,22.0,62.9,37.1,1,69.0,Medium,M
Dachshund,8.8,36.9,,5,21.0,High,S
Poodle,17.3,52.4,32.2,7,94.0,Low,M
Beagle,12.1,53.7,37.6,6,17.0,Low,M
German Shepherd,27.6,81.0,52.5,1,53.0,Medium,XL
German Shepherd,38.1,77.8,45.3,3,119.0,Medium,L
Labrador,34.7,67.5,44.7,5,80.0,Low,L
Boxer,31.9,62.3,35.4,4,53.0,Low,M
Poodle,18.4,57.8,32.7,5,51.0,High,M
Beagle,11.3,49.1,39.1,7,74.0,High,S
Dachshund,12.5,38.6,33.0,7,60.0,High,S
Poodle,15.9,58.5,35.4,4,,High,M
Beagle,10.4,49.6,31.2,1,36.0,Medium,S
Chihuahua,3.8,27.7,18.6,4,105.0,Medium,XS
Labrador,28.4,70.3,43.1,6,89.0,Low,L
Poodle,16.1,47.9,31.2,1,4.0,Low,S
Chihuahua,3.8,95.4,16.1,3,28.0,Medium,XS
Golden Retriever,33.6,77.2,40.5,4,28.0,High,L
Chihuahua,3.8,34.1,22.9,3,97.0,Medium,XS
Beagle,11.0,44.8,30.4,3,7.0,Low,S
Poodle,21.2,56.4,33.4,4,20.0,High,M
Chihuahua,2.5,26.7,16.8,7,100.0,Medium,XS
German Shepherd,29.6,75.0,47.2,3,67.0,Low,L
Chihuahua,2.6,25.4,17.7,1,46.0,High,XS
Dachshund,14.2,39.2,27.2,6,107.0,Medium,S
Labrador,35.0,66.9,46.8,1,65.0,High,L
Chihuahua,3.4,32.2,22.0,3,104.0,Medium,XS
Golden Retriever,29.1,73.9,46.4,4,54.0,High,L
Chihuahua,2.6,27.3,18.2,3,67.0,Low,XS
Dachshund,14.5,46.4,26.1,4,40.0,Medium,S
Poodle,20.9,58.2,35.1,1,20.0,High,M
Bulldog,23.3,58.0,44.9,2,24.0,Low,M
Beagle,11.6,46.3,33.4,7,8.0,High,S
